Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2018-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Djibouti,DJI,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,,,,,,,,,,,87000,119000,164000,221000,230000,429000,684000,725000,980000,1282000,2244000,2181000,2449000,3054000,2992000,1904000,4233000,9305000,9520000,9108000,8908000,8220000,7661000,6441000,8898000,9166000,8787000,5047000,3270000,6325000,8400000,6836000,7644000,10891000,13306000,11045000,16871000,14300000,17509000,22498000,22384000,26526000,30993000,31745000,27512000,28317000,31775000,43993000
Dominica,DMA,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,390000,531000,338000,911000,1083000,1569000,1859000,2156000,2879000,2773000,2945000,3012000,4375000,4559000,3746000,3135000,6399000,7177000,7447000,6836000,7572000,6074000,6889000,7611000,9612000,10564000,10506000,12922000,14763000,9835000,9439000,7840000,9942000,11459000,14307000,18060000,21633000
Denmark,DNK,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,,,,,,,,,,,27526000,33824000,32819000,43722000,46341000,64770000,76360000,93062000,106549000,230663000,138248000,139625000,183112000,190273000,96459000,89473000,107333000,102292000,110691000,119773000,93491000,121116000,190064000,174516000,292869000,206497000,196649000,199212000,160115000,180288000,263551000,383228000,385714000,597115000,473896000,461967000,934559000,944915000,823424000,896233000,798608000,796079000,1521090000,1646864000,1903943000,3781762000,2466716000,1665548000
Algeria,DZA,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,,,,,,,,,,,34570000,52626000,138409000,232873000,491792000,252271000,439837000,646056000,903583000,1563389000,2528502000,2552040000,2953989000,3312292000,3600381000,3476595000,3573815000,3819615000,4592083000,5118192000,6782960000,7223989000,7078771000,6981932000,3357552000,2248084000,1968096000,2019302000,2704062000,3026429000,2720810000,2819894000,2653845000,2779274000,4330547000,4447674000,12790319000,1137086000,1057960000,909642000,557414000,535701000,741690000,465954000,230589000,581900000,298424000,229607000
East Asia & Pacific (excluding high income),EAP,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,,,,,,,,,,,605277000,673744000,758828000,1160473000,1233900000,1474286000,1820779000,2614650000,4666524000,4226071000,3452494000,4955605000,5814768000,5982433000,6948736000,10568794000,10472570000,12267270000,16175979000,15330338000,17359021000,16813843000,22725262000,27235785000,28482896000,31858331000,39526921000,38246475000,37349012000,48310106000,47030925000,51707329000,64862210000,70861508000,57116332000,66885808000,62180242000,71846361000,68574818000,80325551000,68493862000,74703547000,85573905000,99275835000,124721959000,169393925000,184824184000,197959913000
Early-demographic dividend,EAR,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (excluding high income),ECA,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,,,,,,,,,,,487325000,654423000,910975000,981622000,1135466000,1333026000,1345736000,1465555000,1671145000,2724552000,3801509000,3812904000,5473137000,4163646000,4353975000,5754529000,5887999000,7580856000,10439034000,9141161000,7556000000,7429105000,7519602000,6511755000,9818980000,12093611000,14829214000,13159840000,18573336000,22327626000,25238487000,28686098000,32460860000,45649715000,50384762000,80645896000,92737577000,106332181000,173319736000,188185048000,175858918000,153538431000,148359729000,176785377000,187432198000,190569845000,181137334000,218520940000
Europe & Central Asia,ECS,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
